id,player_name
1871,EdwardsGuzman
5595,TonyWomack
782,BrianLawrence
2750,JeffCirillo
974,CarlosSilva
4763,RayOlmedo
674,BrandonPhillips
2425,J.J.Davis
5519,ToddLinden
4685,QuintonMcCracken
5892,WilsonDelgado
4463,NickPunto
2069,FernandoTatis
636,BrandonBerger
403,ArmandoRios
5844,WikiGonzalez
2179,GeneKingsale
3046,JohnMcDonald
5855,WilkinRuan
2755,JeffDuncan
4030,MattFord
4518,OmarInfante
2771,JeffLiefer
4831,RickieWeeks
4746,RandyWolf
5035,RyanLangerhans
2667,JasonJohnson
4675,PokeyReese
3843,LuisUgueto
2127,FreddySanchez
323,AndyFox
2318,HenryBlanco
4716,RamonNivar
6009,ZachSorensen
2827,JermaineDye
2923,JoeBorchard
5000,RyanChristenson
4068,MattMorris
2715,JayBell
1424,DamianMoss
1905,ElmerDessens
3735,LennyHarris
3980,MarvinBenard
749,BrianAnderson
3602,KikoCalero
5276,ShawnChacon
640,BrandonClaussen
1575,DavidCone
2986,JoeyEischen
2049,FelixEscalona
5015,RyanFranklin
2007,EstebanGerman
1841,EdgarGonzalez
5880,WillieHarris
3984,MasaoKida
4572,PatMahomes
4640,PeteMunro
5180,ScottRandall
966,CarlosReyes
2694,JasonSmith
5527,ToddWellemeyer
1624,DavidWells
4557,PabloOzuna
5278,ShawnEstes
3721,LarryBarnes
5499,TimRedding
496,BenjiGil
4323,MikeRivera
5338,StephenSmitherman
5592,TonyTorcato
956,CarlosMendez
4677,PrenticeRedman
5682,TsuyoshiShinjo
3604,KipWells
3,A.J.Burnett
2216,GlendonRusch
2160,GarrettStephenson
1063,CharlesGipson
2968,JoeThurston
4737,RandyJohnson
4356,MitchMeluskey
4099,MattWatson
2354,HumbertoQuintero
1427,DamionEasley
1977,EricValent
2625,JarrodPatterson
2825,JermaineClark
3536,KerryWood
3511,KenHuckaby
117,AdrianBrown
4369,MorganBurkhart
885,Byung-HyunKim
4931,RonVillone
3056,JohnRiedling
5522,ToddRitchie
5632,TrentDurrington
5370,SteveTrachsel
4096,MattWalbeck
2753,JeffD'Amico
3338,JoséMolina
647,BrandonDuckworth
4963,RoyOswalt
1035,ChadHermansen
3247,JoshFogg
1596,DavidKelton
5167,ScottLinebrink
1388,CurtisPride
4567,PatBorders
3756,LivanHernandez
3214,JoseMorban
5269,ShaneVictorino
3560,KevinJarvis
1038,ChadKreuter
5498,TimRaines
4639,PeteLaforest
1550,DaryleWard
4928,RonGant
5572,TonyArmas
1230,ClayCondrey
2124,FreddyGarcia
2008,EstebanLoaiza
2710,JavierLópez
2207,GilMeche
1297,ColinPorter
605,BradRadke
2627,JarrodWashburn
2882,JimBrower
29,AaronCook
1639,DeanPalmer
604,BradPenny
5535,TomGregorio
2149,GarrettAtkins
5567,TomoOhka
2068,FernandoSeguignol
5815,WadeMiller
1540,DarrenDreifort
3125,JonnyGomes
4410,NelsonCruz
1099,Chin-huiTsao
2894,JimmyAnderson
5531,TomGlavine
3547,KevinCash
2332,HideoNomo
