year,index,player_url,TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO,GO/AO,TB,IBB,BABIP,AB/HR
2004,28,,Seattle Mariners,AL,162,5722,698,1544,276,20,136,658,492,1058,110,42,0.27,0.331,0.396,0.727,6362,54,46,48,131,1697,1.12,2268,49,0.308,42.07
2004,29,,Arizona Diamondbacks,NL,162,5544,615,1401,295,38,135,582,441,1022,53,32,0.253,0.31,0.393,0.703,6114,35,56,37,137,1700,1.12,2177,38,0.286,41.07
2004,29,,Milwaukee Brewers,NL,161,5483,634,1358,295,32,135,601,540,1312,138,40,0.248,0.321,0.387,0.708,6195,68,56,40,120,1551,1.14,2122,49,0.3,40.62
2005,1,,Texas Rangers,AL,162,5716,865,1528,311,29,260,834,495,1112,67,15,0.267,0.329,0.468,0.797,6301,48,9,32,123,1446,0.87,2677,20,0.29,21.98
2005,2,,New York Yankees,AL,162,5624,886,1552,259,16,229,847,637,989,84,27,0.276,0.355,0.45,0.805,6406,73,28,43,125,1659,1.11,2530,41,0.297,24.56
2005,3,,Cincinnati Reds,NL,163,5565,820,1453,335,15,222,784,611,1303,72,23,0.261,0.339,0.446,0.785,6321,62,43,39,116,1517,1.1,2484,42,0.302,25.07
2005,4,,Cleveland Indians,AL,162,5609,790,1522,337,30,207,760,503,1093,62,36,0.271,0.334,0.453,0.787,6255,54,39,50,128,1588,1.06,2540,33,0.302,27.1
2005,5,,Chicago White Sox,AL,162,5529,741,1450,253,23,200,713,435,1002,137,67,0.262,0.322,0.425,0.747,6146,79,53,49,122,1601,1.01,2349,27,0.286,27.64
2005,6,,Boston Red Sox,AL,162,5626,910,1579,339,21,199,863,653,1044,45,12,0.281,0.357,0.454,0.811,6403,47,14,63,135,1488,0.93,2557,34,0.31,28.27
2005,7,,Chicago Cubs,NL,162,5584,703,1506,323,23,194,674,419,920,65,39,0.27,0.324,0.44,0.764,6161,50,69,37,131,1699,1.09,2457,49,0.291,28.78
