index,PLAYER,position,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
637,Vicente Padilla,P,PHI,27,41,2,6,1,1,0,4,5,24,0,0,.146,.239,.220,.459,51,0,5,0,0,1.29,2,9,0,.353,.073,-.--,.208,.098,.471
637,Humberto Quintero,C,HOU,18,54,6,10,1,0,1,8,1,10,0,0,.185,.200,.259,.459,57,0,2,0,3,2.27,2,14,1,.209,.074,54.00,.100,.018,.175
639,John Flaherty,C,NYY,47,127,10,21,5,0,2,11,6,26,0,0,.165,.206,.252,.458,138,1,2,2,4,0.75,7,32,0,.188,.087,63.50,.231,.043,.188
640,Eric Milton,P,CIN,34,56,7,8,1,0,2,4,3,25,0,0,.143,.186,.268,.454,64,0,5,0,0,3.00,3,15,0,.207,.125,28.00,.120,.047,.391
641,Alfredo Amezaga,SS,PIT,5,6,2,1,0,0,0,0,1,0,1,0,.167,.286,.167,.453,7,0,0,0,0,0.67,0,1,0,.167,.000,-.--,.---,.143,.000
642,A.J. Burnett,P,FLA,32,68,3,10,2,2,1,2,1,34,0,0,.147,.171,.279,.450,79,1,9,0,1,5.60,5,19,0,.273,.132,68.00,.029,.013,.430
643,Tony Giarratano,SS,DET,15,42,4,6,0,0,1,4,5,7,1,0,.143,.234,.214,.448,47,0,0,0,1,1.07,1,9,0,.147,.071,42.00,.714,.106,.149
644,Ryan Theriot,X,CHC,9,13,3,2,1,0,0,0,1,2,0,0,.154,.214,.231,.445,14,0,0,0,0,1.25,1,3,0,.182,.077,-.--,.500,.071,.143
645,Adam Eaton,P,SD,26,46,2,8,0,1,0,2,3,18,0,1,.174,.224,.217,.441,52,0,3,0,0,1.88,1,10,0,.286,.043,-.--,.167,.058,.346
646,Andy Marte,3B,ATL,24,57,3,8,2,1,0,4,7,13,0,1,.140,.227,.211,.438,66,0,0,2,2,0.58,3,12,0,.174,.070,-.--,.538,.106,.197
647,Mike Mahoney,C,STL,26,64,5,10,1,0,1,6,4,10,0,0,.156,.217,.219,.436,75,1,6,0,3,1.94,2,14,1,.170,.063,64.00,.400,.053,.133
648,Adam Shabala,LF,SF,6,15,1,3,0,0,0,4,1,5,0,0,.200,.235,.200,.435,18,0,1,1,1,2.00,0,3,0,.273,.000,-.--,.200,.056,.278
649,Kaz Ishii,P,NYM,19,25,1,5,0,0,0,2,1,12,0,0,.200,.231,.200,.431,30,0,4,0,0,12.00,0,5,0,.385,.000,-.--,.083,.033,.400
649,Brayan Peña,C,ATL,18,39,2,7,2,0,0,4,1,7,0,0,.179,.200,.231,.431,40,0,0,0,1,0.92,2,9,1,.219,.051,-.--,.143,.025,.175
651,Tom Glavine,P,NYM,33,64,2,13,0,0,0,3,2,13,0,0,.203,.227,.203,.430,71,0,5,0,0,7.60,0,13,0,.255,.000,-.--,.154,.028,.183
652,Brian Dallimore,X,SF,7,7,1,1,1,0,0,0,0,0,0,0,.143,.143,.286,.429,7,0,0,0,1,1.00,1,2,0,.143,.143,-.--,.---,.000,.000
653,Aaron Cook,P,COL,13,30,3,5,0,1,0,0,1,12,0,0,.167,.194,.233,.427,36,0,5,0,0,2.00,1,7,0,.278,.067,-.--,.083,.028,.333
654,Jose Acevedo,P,COL,36,8,0,1,0,0,0,0,1,6,0,0,.125,.300,.125,.425,11,1,1,0,0,2.00,0,1,0,.500,.000,-.--,.167,.091,.545
655,Melky Cabrera,CF,NYY,6,19,1,4,0,0,0,0,0,2,0,0,.211,.211,.211,.422,19,0,0,0,0,0.86,0,4,0,.235,.000,-.--,.---,.000,.105
655,Ryan Vogelsong,P,PIT,44,9,0,1,1,0,0,0,0,4,0,0,.111,.200,.222,.422,10,1,0,0,0,3.00,1,2,0,.200,.111,-.--,.---,.000,.400
657,Ross Gload,1B,CWS,28,42,2,7,2,0,0,5,2,9,0,0,.167,.205,.214,.419,44,0,0,0,1,0.73,2,9,0,.212,.048,-.--,.222,.045,.205
658,Zach Sorensen,X,LAA,12,12,3,2,1,0,0,0,0,2,0,0,.167,.167,.250,.417,13,0,1,0,0,1.25,1,3,0,.200,.083,-.--,.---,.000,.154
659,Randy Wolf,P,PHI,15,26,2,4,2,0,0,1,1,8,0,0,.154,.185,.231,.416,28,0,1,0,0,0.88,2,6,0,.222,.077,-.--,.125,.036,.286
660,Brad Penny,P,LAD,29,50,1,8,3,0,0,3,1,17,0,0,.160,.192,.220,.412,61,1,9,0,0,5.80,3,11,0,.242,.060,-.--,.059,.016,.279
661,Manny Alexander,2B,SD,10,18,0,2,1,0,0,0,2,5,0,0,.111,.238,.167,.405,21,1,0,0,0,0.83,1,3,1,.154,.056,-.--,.400,.095,.238
661,José Bautista,3B,PIT,11,28,3,4,1,0,0,1,3,7,1,0,.143,.226,.179,.405,31,0,0,0,2,0.89,1,5,0,.190,.036,-.--,.429,.097,.226
661,Daniel Ortmeier,X,SF,15,22,1,3,0,0,0,1,3,5,1,0,.136,.269,.136,.405,26,1,0,0,2,0.56,0,3,0,.176,.000,-.--,.600,.115,.192
664,Andres Torres,CF,TEX,8,19,2,3,1,0,0,1,1,6,1,0,.158,.190,.211,.401,21,0,0,1,0,1.75,1,4,0,.214,.053,-.--,.167,.048,.286
665,Nate Bump,P,FLA,31,5,1,1,0,0,0,0,0,4,0,0,.200,.200,.200,.400,6,0,1,0,0,1.00,0,1,0,1.000,.000,-.--,.---,.000,.667
665,Napoleon Calzado,X,BAL,4,5,0,1,0,0,0,0,0,1,0,0,.200,.200,.200,.400,5,0,0,0,0,0.50,0,1,0,.250,.000,-.--,.---,.000,.200
665,Chris Capuano,P,MIL,35,71,5,12,3,0,0,9,2,33,0,0,.169,.189,.211,.400,79,0,5,1,1,1.67,3,15,0,.308,.042,-.--,.061,.025,.418
665,Raul Casanova,C,CWS,6,5,0,1,0,0,0,0,0,1,0,0,.200,.200,.200,.400,5,0,0,0,0,2.00,0,1,0,.250,.000,-.--,.---,.000,.200
665,Mike Esposito,P,COL,3,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,6,0,1,0,0,4.00,0,1,0,.200,.000,-.--,.---,.000,.000
665,John Halama,P,WSH,40,5,0,1,0,0,0,0,0,1,0,0,.200,.200,.200,.400,5,0,0,0,0,2.00,0,1,0,.250,.000,-.--,.---,.000,.200
665,Kevin Hooper,LF,DET,6,5,0,1,0,0,0,0,0,1,0,0,.200,.200,.200,.400,7,0,2,0,0,4.00,0,1,0,.250,.000,-.--,.---,.000,.143
665,Dennys Reyes,P,SD,36,5,0,1,0,0,0,0,0,2,0,0,.200,.200,.200,.400,5,0,0,0,0,0.00,0,1,0,.333,.000,-.--,.---,.000,.400
665,Kip Wells,P,PIT,34,57,4,9,1,0,1,2,0,26,0,0,.158,.172,.228,.400,61,1,3,0,0,4.00,2,13,0,.267,.070,57.00,.---,.000,.426
674,Dan Wilson,C,SEA,11,27,2,5,0,0,0,2,0,10,0,1,.185,.214,.185,.399,28,1,0,0,1,0.50,0,5,0,.294,.000,-.--,.---,.000,.357
675,Kirk Rueter,P,SF,21,30,1,5,1,0,0,1,1,2,0,0,.167,.194,.200,.394,37,0,6,0,1,4.80,1,6,0,.179,.033,-.--,.500,.027,.054
676,Cody Ross,RF,LAD,14,25,1,4,1,0,0,1,1,10,0,0,.160,.192,.200,.392,26,0,0,0,1,0.38,1,5,0,.267,.040,-.--,.100,.038,.385
677,Marshall McDougall,X,TEX,18,18,3,3,1,0,0,0,0,10,0,0,.167,.167,.222,.389,18,0,0,0,1,1.50,1,4,0,.375,.056,-.--,.---,.000,.556
677,Roy Oswalt,P,HOU,35,73,1,13,0,0,0,2,2,19,0,0,.178,.211,.178,.389,83,1,7,0,0,2.43,0,13,0,.241,.000,-.--,.105,.024,.229
677,John Smoltz,P,ATL,33,68,1,10,2,1,0,3,3,26,0,0,.147,.183,.206,.389,83,0,12,0,3,3.89,3,14,0,.238,.059,-.--,.115,.036,.313
680,Jason Jennings,P,COL,22,38,0,6,1,0,0,1,2,12,0,0,.158,.200,.184,.384,44,0,4,0,0,1.67,1,7,0,.231,.026,-.--,.167,.045,.273
681,Greg Maddux,P,CHC,35,76,4,13,0,0,1,5,0,15,1,0,.171,.171,.211,.382,83,0,7,0,4,2.67,1,16,0,.200,.039,76.00,.---,.000,.181
681,Oliver Pérez,P,PIT,20,33,1,6,0,0,0,3,1,11,1,0,.182,.200,.182,.382,42,0,7,1,0,1.40,0,6,0,.261,.000,-.--,.091,.024,.262
681,Josh Wilson,SS,FLA,11,10,2,1,1,0,0,0,0,4,0,0,.100,.182,.200,.382,11,1,0,0,0,0.00,1,2,0,.167,.100,-.--,.---,.000,.364
684,Glendon Rusch,P,CHC,46,41,2,6,2,0,0,0,1,9,0,0,.146,.186,.195,.381,43,1,0,0,2,2.71,2,8,0,.188,.049,-.--,.111,.023,.209
685,Kerry Wood,P,CHC,21,18,0,2,2,0,0,2,1,6,0,0,.111,.158,.222,.380,21,0,2,0,0,2.00,2,4,0,.167,.111,-.--,.167,.048,.286
686,Shawn Chacon,P,COL,13,20,0,3,0,0,0,1,2,8,0,0,.150,.227,.150,.377,25,0,3,0,1,1.40,0,3,0,.250,.000,-.--,.250,.080,.320
687,Tim Hudson,P,ATL,29,65,2,9,2,1,0,6,3,26,0,0,.138,.176,.200,.376,72,0,4,0,4,2.78,3,13,0,.231,.062,-.--,.115,.042,.361
688,Brett Tomko,P,SF,33,55,3,9,1,0,0,5,2,22,0,0,.164,.193,.182,.375,67,0,10,0,0,3.25,1,10,0,.273,.018,-.--,.091,.030,.328
689,Roger Cedeno,X,STL,37,57,4,9,1,0,0,8,2,6,0,2,.158,.197,.175,.372,61,1,0,1,2,1.26,1,10,0,.173,.018,-.--,.333,.033,.098
689,Joe Kennedy,P,COL,16,29,1,5,0,0,0,1,1,8,0,0,.172,.200,.172,.372,35,0,5,0,1,6.00,0,5,0,.238,.000,-.--,.125,.029,.229
